id,ACTION
1,0.31300000000000006
2,1
3,1
4,1
5,1
6,1
7,0.556
8,0.728
9,0.8685
10,0.944
11,0.4780000000000001
12,0.7529999999999999
13,0.5995
14,0.729
15,0.8505
16,0.782
17,0.6625
18,0.191
19,1
20,0.9854999999999999
21,1
22,0.8785
23,0.8989999999999999
24,1
25,1
26,0.8955000000000001
27,0.41550000000000004
28,0.8685
29,0.8595
30,0.281
31,1
32,1
33,1
34,0.776
35,0.8334999999999999
36,0.9584999999999999
37,0.9345000000000001
38,1
39,0.6605
40,0.8805000000000001
41,0.6445
42,0.734
43,0.5680000000000001
44,1
45,0.7435
46,1
47,1
48,1
49,1
50,0.9345000000000001
51,1
52,1
53,1
54,0.8270000000000001
55,0.944
56,1
57,0.4
58,1
59,1
60,0.5724999999999999
61,1
62,0.71
63,0.8929999999999999
64,1
65,0.537
66,0.8505
67,0.36150000000000004
68,1
69,0.663
70,0.9584999999999999
71,1
72,1
73,1
74,0.8955000000000001
75,0.9345000000000001
76,1
77,0.9584999999999999
78,0.29800000000000004
79,0.278
80,1
81,0.8685
82,0.8685
83,0.8535
84,0.8270000000000001
85,1
86,1
87,0.41550000000000004
88,0.8270000000000001
89,0.636
90,0.8685
91,0.597
92,0.704
93,1
94,0.7470000000000001
95,1
96,0.9854999999999999
97,0.14950000000000002
98,1
99,1
100,0.6355
101,0.9345000000000001
102,0.42150000000000004
103,1
104,0.9345000000000001
105,0
106,0.6325
107,0.8685
108,1
109,1
110,0.746
111,0.6875
112,1
113,1
114,1
115,0.9135000000000001
116,1
117,1
118,0.749
119,1
120,0.8595
121,0.7315
122,0.526
123,0.3195
124,1
125,0.8805000000000001
126,0.29600000000000004
127,0.5680000000000001
128,0.538
129,0.3395
130,0.809
131,1
132,0.7225
133,0.5635
134,1
135,0.9135000000000001
136,0.8480000000000001
137,0.9584999999999999
138,0.8805000000000001
139,0.14950000000000002
140,1
141,1
142,0.5975
143,1
144,0.6265
145,1
146,0.944
147,0.8929999999999999
148,0.21500000000000002
149,0.8155000000000001
150,1
151,1
152,1
153,1
154,0.014499999999999999
155,0.7195
156,0.8505
157,1
158,0.8595
159,1
160,0.7945000000000001
161,0.014499999999999999
162,0.8535
163,1
164,1
165,0.8480000000000001
166,1
167,0.6685
168,1
169,0.8805000000000001
170,1
171,0.809
172,1
173,1
174,1
175,0.7015
176,0.8505
177,0.40950000000000003
178,1
179,1
180,0.8929999999999999
181,0.1315
182,0.809
183,0.8390000000000001
184,0.9345000000000001
185,0.704
186,0.43650000000000005
187,1
188,1
189,0.514
190,1
191,1
192,0.764
193,1
194,1
195,0.6445
196,1
197,0.8540000000000001
198,1
199,1
200,0.34650000000000003
201,1
202,1
203,0.5825
204,0.9854999999999999
205,0.8685
206,1
207,1
208,1
209,0.7974999999999999
210,0.8685
211,0.776
212,1
213,1
214,0.8390000000000001
215,1
216,0.666
217,0.8505
218,1
219,0.8394999999999999
220,0.7285
221,0.6625
222,0.8505
223,0.8535
224,0.9584999999999999
225,0.8595
226,0.6385
227,0.944
228,1
229,1
230,0.8270000000000001
231,0.8595
232,0.41850000000000004
233,0.7739999999999999
234,0.47700000000000004
235,0.8805000000000001
236,0.24099999999999996
237,1
238,1
239,0.272
240,0.9854999999999999
241,1
242,0.9199999999999999
243,0.08650000000000001
244,1
245,0.5680000000000001
246,0.8595
247,1
248,1
249,0.9135000000000001
250,1
251,1
252,0.722
253,0.43250000000000005
254,1
255,0.8595
256,0.8595
257,1
258,0.266
259,0.7435
260,1
261,1
262,0.5525
263,0.9854999999999999
264,1
265,1
266,1
267,1
268,1
269,0.9135000000000001
270,1
271,0.41550000000000004
272,0
273,0.8505
274,1
275,1
276,0.764
277,1
278,1
279,1
280,0.9584999999999999
281,1
282,1
283,0.8505
284,1
285,0.5705
286,0.9345000000000001
287,1
288,1
289,1
290,1
291,1
292,0.3105
293,0.8505
294,0.63
295,0.9135000000000001
296,0
297,0
298,0.8535
299,0.549
300,1
301,0.8505
302,1
303,1
304,0.3855
305,0.9199999999999999
306,0.9345000000000001
307,1
308,0.9135000000000001
309,1
310,1
311,0.6625
312,0.9854999999999999
313,1
314,1
315,1
316,0.9584999999999999
317,0.48400000000000004
318,1
319,1
320,0.8505
321,1
322,0
323,1
324,1
325,0.764
326,0.35450000000000004
327,1
328,1
329,0.609
330,1
331,0.9854999999999999
332,0.728
333,0.9854999999999999
334,0.6515
335,1
336,1
337,1
338,0.9854999999999999
339,0.8785
340,0.462
341,1
342,1
343,0.185
344,1
345,1
346,0.8989999999999999
347,0.5579999999999999
348,0.43650000000000005
349,1
350,0.639
351,0.35200000000000004
352,1
353,1
354,0
355,1
356,0.812
357,0.8394999999999999
358,1
359,0.8064999999999999
360,0.8785
361,1
362,0.7675000000000001
363,1
364,1
365,0.26
366,0.5825
367,0.8685
368,0.9854999999999999
369,0.731
370,0.8929999999999999
371,0.9854999999999999
372,0.8805000000000001
373,1
374,0.0655
375,0.43650000000000005
376,0.8955000000000001
377,0.3645
378,1
379,0.9584999999999999
380,0.8805000000000001
381,0.8805000000000001
382,1
383,0.8480000000000001
384,0.35850000000000004
385,0.281
386,1
387,0.16100000000000003
388,0.251
389,1
390,0.8505
391,0.5680000000000001
392,0.788
393,0.8685
394,1
395,0.8535
396,1
397,1
398,0.8595
399,0.8595
400,1
401,1
402,0.9345000000000001
403,0.6234999999999999
404,1
405,1
406,0.8064999999999999
407,0.5825
408,1
409,0.9854999999999999
410,1
411,0.8805000000000001
412,0.728
413,0.21500000000000002
414,0.6900000000000001
415,1
416,0.812
417,0.43300000000000005
418,1
419,0.4745
420,0.809
421,0.8805000000000001
422,0.6875
423,0.8300000000000001
424,0.3945
425,0.8810000000000001
426,1
427,1
428,1
429,0.8685
430,1
431,0.7495
432,0.9345000000000001
433,1
434,1
435,0.803
436,0.9135000000000001
437,1
438,0
439,1
440,0.29800000000000004
441,1
442,1
443,0.8505
444,0.9854999999999999
445,0.8270000000000001
446,0.9584999999999999
447,1
448,0.944
449,1
450,1
451,0.134
452,0.5680000000000001
453,0.3665
454,0
455,0.776
456,0.944
457,1
458,0.9135000000000001
459,0.47700000000000004
460,0.651
461,0.14950000000000002
462,1
463,0.8785
464,1
465,1
466,1
467,0
468,0.8685
469,1
470,1
471,0.7735000000000001
472,0.3905
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0.776
484,1
485,0.9584999999999999
486,0.9854999999999999
487,0.5825
488,0.9135000000000001
489,0.9345000000000001
490,0.9854999999999999
491,0.728
492,0.9854999999999999
493,0.9854999999999999
494,1
495,0.41750000000000004
496,0.812
497,0.8929999999999999
498,0.8480000000000001
499,0.6955
500,0.728
501,0.8505
502,0.6725
503,0.9345000000000001
504,0.5345000000000001
505,1
506,0.6605
507,0.9584999999999999
508,1
509,0.3125
510,0.014499999999999999
511,1
512,0.08650000000000001
513,0.2775000000000001
514,1
515,0.8955000000000001
516,0.9584999999999999
517,1
518,1
519,1
520,0.47500000000000003
521,0.9584999999999999
522,0.7470000000000001
523,1
524,0.14650000000000002
525,1
526,0.251
527,0.7075
528,0.708
529,0.185
530,1
531,0.8595
532,1
533,1
534,0.776
535,1
536,1
537,0.14950000000000002
538,0.8685
539,1
540,1
541,1
542,1
543,0.8535
544,0.749
545,0.704
546,0.8150000000000001
547,0
548,0.8810000000000001
549,1
550,0.41150000000000003
551,1
552,0.704
553,0.8785
554,1
555,1
556,1
557,1
558,0.579
559,1
560,1
561,0.41850000000000004
562,1
563,1
564,1
565,1
566,0.8595
567,0.6625
568,0.274
569,1
570,0.442
571,0
572,1
573,0.9584999999999999
574,0.43650000000000005
575,1
576,1
577,0.8955000000000001
578,0.6445
579,0.4005
580,0.9135000000000001
581,1
582,1
583,0.7919999999999999
584,1
585,0.9345000000000001
586,1
587,0.8300000000000001
588,0.5680000000000001
589,0.71
590,0.8480000000000001
591,0.8535
592,0.41150000000000003
593,0.7919999999999999
594,1
595,1
596,1
597,0.48600000000000004
598,0.8785
599,0.9345000000000001
600,1
601,1
602,0.9584999999999999
603,1
604,0.6185
605,0.7020000000000001
606,0.8535
607,1
608,0.5635
609,1
610,0.6895
611,1
612,0.8390000000000001
613,0.8929999999999999
614,0.9135000000000001
615,1
616,0.358
617,0.8929999999999999
618,0.8394999999999999
619,1
620,0.9135000000000001
621,0.8540000000000001
622,0.9345000000000001
623,1
624,0.8595
625,0.7020000000000001
626,0.9854999999999999
627,0.657
628,1
629,0.281
630,1
631,1
632,0.8535
633,1
634,1
635,0.6605
636,1
637,1
638,1
639,0.5579999999999999
640,1
641,0.7615000000000001
642,1
643,0.5635
644,0.8805000000000001
645,0.722
646,0.29600000000000004
647,0.5609999999999999
648,0.513
649,1
650,0.453
651,0.6725
652,1
653,0.281
654,0.9854999999999999
655,0.7529999999999999
656,1
657,0.5855
658,0.8955000000000001
659,1
660,0.6805
661,0.8505
662,0.11950000000000001
663,0.8805000000000001
664,0.719
665,0.29600000000000004
666,0.5465
667,0.9345000000000001
668,0.8505
669,0.764
670,0.14950000000000002
671,0.8805000000000001
672,0.8535
673,0.337
674,1
675,0.8270000000000001
676,0.8480000000000001
677,0.5975
678,0.9584999999999999
679,0.504
680,0.809
681,1
682,0.7944999999999999
683,1
684,0.8660000000000001
685,0.6535
686,0.4925
687,1
688,0.6875
689,1
690,1
691,0.6535
692,1
693,0.7465
694,1
695,1
696,1
697,0.8685
698,0.809
699,0.8505
700,0.8064999999999999
701,0.5375
702,0.8685
703,0.8535
704,0
705,0.666
706,0.6875
707,0.6084999999999999
708,1
709,1
710,1
711,1
712,1
713,1
714,0.8535
715,1
716,0.406
717,1
718,0.8929999999999999
719,0.8270000000000001
720,1
721,1
722,1
723,0
724,0.36100000000000004
725,0.9584999999999999
726,0.713
727,0.713
728,1
729,1
730,0.9345000000000001
731,1
732,1
733,0.8955000000000001
734,1
735,0.8535
736,0.6835
737,1
738,1
739,0.9584999999999999
740,1
741,0.9854999999999999
742,0.8595
743,0.9345000000000001
744,0.9345000000000001
745,0.9584999999999999
746,1
747,1
748,1
749,0.8955000000000001
750,1
751,0.8805000000000001
752,1
753,1
754,0.8390000000000001
755,1
756,0.5705
757,1
758,1
759,0.43650000000000005
760,0.9199999999999999
761,0.3915
762,1
763,0.8535
764,0.8450000000000001
765,0.9135000000000001
